ἀγαθός, ἀγαθή, ἀγαθόν			good
φυλάσσω, φυλάξω, ἐφύλαξα, ἐφυλάχθην 	I guard
φωνή, φωνῆς, ἡ	 	  		voice
χαλεπός, χαλεπή, χαλεπόν		difficult
χρήσιμος -η -ον  	  		useful
χρόνος, χρόνου, ὁ  			time
χώρα, χώρας, ἡ				country, land
ὡρα ἡ 	     				hour
ὦ     	     				o... (addressing someone)
ὡς					when, as, because

